name,highway,geometry
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.7841758 18.507195, 73.7838093 18.5072076, 73.7833771 18.5072444, 73.7828579 18.5073393, 73.7827914 18.5073541, 73.7827362 18.5073664, 73.7825462 18.5074079, 73.7823513 18.5074535, 73.7785738 18.5082958, 73.7760103 18.5088141, 73.7759712 18.508822)"
Shivaji Road,trunk,"LINESTRING (73.8562138 18.518542, 73.8562142 18.5185095, 73.8562164 18.5183421, 73.8562211 18.5181816)"
Shivaji Road,trunk,"LINESTRING (73.8552841 18.5213468, 73.8553642 18.5211739)"
Shivaji Road,trunk,"LINESTRING (73.8531741 18.525804, 73.85308 18.5259019, 73.8529666 18.52602, 73.852555 18.5264612)"
Shivaji Road,trunk,"LINESTRING (73.852555 18.5264612, 73.8524613 18.5265799, 73.8523911 18.5266513, 73.8523139 18.5267165, 73.8522276 18.5267783, 73.8520815 18.5268642, 73.8518985 18.5269678, 73.85169 18.527078, 73.8513466 18.5272653, 73.8507642 18.5276748, 73.8506817 18.5277524, 73.8506035 18.5278421, 73.8505108 18.5279623, 73.8504212 18.5280867, 73.8503581 18.5281877, 73.8502585 18.5283785, 73.8501508 18.5285664, 73.850037 18.5288419, 73.8499519 18.5289578)"
Shivaji Road,trunk,"LINESTRING (73.852555 18.5264612, 73.8524233 18.5265563, 73.8523512 18.5266026, 73.8522509 18.5266758, 73.8520533 18.5268054, 73.851866 18.526911, 73.8517676 18.5269621)"
Shivaji Road,trunk,"LINESTRING (73.8498519 18.5296261, 73.8497994 18.52984)"
Raja Bahadur Mill Marg,trunk,"LINESTRING (73.8632048 18.5298097, 73.8633125 18.5298456)"
Bund Garden Road,trunk,"LINESTRING (73.8788855 18.5336216, 73.878795 18.533545)"
Katraj - Dehu Road Bypass,trunk,"LINESTRING (73.776266 18.527345, 73.776475 18.5274421, 73.7767126 18.5275674, 73.7769523 18.5277055, 73.7771617 18.5278453, 73.7774249 18.528051, 73.7776343 18.5282382, 73.7776856 18.5282878, 73.7778506 18.5284472, 73.7780832 18.528699, 73.7783278 18.5290249, 73.7785448 18.5293824, 73.7786267 18.5295264, 73.7787242 18.5297351, 73.7793618 18.5312591, 73.7795329 18.5316624, 73.7795812 18.5317763)"
Bund Garden Road,trunk,"LINESTRING (73.8830461 18.5398877, 73.8835654 18.5406502, 73.883654 18.5407803, 73.8837397 18.5409034, 73.8838076 18.5409711, 73.8838737 18.5410084, 73.8839966 18.5410514)"
Bund Garden Road,trunk,"LINESTRING (73.8853993 18.5415921, 73.8852767 18.5414793, 73.8850807 18.5413148, 73.884823 18.5412447, 73.8843088 18.5411827, 73.8842155 18.54124, 73.884136 18.5413121, 73.884068 18.5413958)"
Deccan College Road,trunk,"LINESTRING (73.8835394 18.5451447, 73.8835877 18.5451502, 73.8836609 18.5451586, 73.8838456 18.5451748, 73.8841136 18.5451921)"
Deccan College Road,trunk,"LINESTRING (73.8841136 18.5451921, 73.8841999 18.5451822, 73.8843047 18.5451618)"
Nagar Road,trunk,"LINESTRING (73.8888933 18.5457372, 73.8888384 18.5457269, 73.8887667 18.5457097)"
Old Pune–Mumbai Highway,trunk,"LINESTRING (73.8472089 18.5564496, 73.8478185 18.5552871)"
Nagar Road,trunk,"LINESTRING (73.9253084 18.5625664, 73.9249826 18.5625306, 73.9247216 18.562502, 73.9244442 18.5624492, 73.9243462 18.5624305)"
Nagar Road,trunk,"LINESTRING (73.9279372 18.562723, 73.9278637 18.5627166)"
Katraj-Kondhwa Road,trunk,"LINESTRING (73.8668117 18.4482851, 73.8670997 18.4482477, 73.8673475 18.4482343, 73.8674802 18.4482376)"
Katraj-Kondhwa Road,trunk,"LINESTRING (73.8715024 18.4496439, 73.8717905 18.4496752, 73.8719935 18.4496755)"
Old Pune–Mumbai Highway,trunk,"LINESTRING (73.8510677 18.5490216, 73.851024 18.5490935)"
Solapur Road,trunk,"LINESTRING (73.8793253 18.5070124, 73.8796821 18.506938)"
Solapur Road,trunk,"LINESTRING (73.8793253 18.5070124, 73.8793001 18.5070073, 73.8792269 18.5069924, 73.8791847 18.5069615)"
Bajirao Road,trunk,"LINESTRING (73.8536991 18.5067226, 73.8536922 18.5067736, 73.853687 18.507378, 73.8536884 18.5074326, 73.8536954 18.5076947)"
Castellino Marg,trunk,"LINESTRING (73.8784676 18.5055888, 73.8785196 18.505674)"
,trunk,"LINESTRING (73.8802208 18.5036899, 73.8795133 18.5031085)"
Solapur Road,trunk,"LINESTRING (73.8817031 18.5065575, 73.8820931 18.5065154, 73.8822311 18.5065024)"
Kharadi Bypass,trunk,"LINESTRING (73.9351663 18.5422609, 73.935145 18.5421604)"
Kharadi Bypass,trunk,"LINESTRING (73.9358733 18.5452274, 73.9358195 18.5450312)"
Kharadi Bypass,trunk,"LINESTRING (73.9383227 18.5588886, 73.9383041 18.558757, 73.9382857 18.5586272, 73.938276 18.5585586, 73.9381178 18.5577348)"
Kharadi Bypass,trunk,"LINESTRING (73.9386815 18.5621172, 73.9386643 18.5618893)"
Nagar Road,trunk,"LINESTRING (73.9386815 18.5621172, 73.9385159 18.5621148)"
Solapur Road Flyover,trunk,"LINESTRING (73.9195433 18.5044803, 73.9194889 18.5044967, 73.9178765 18.5049664, 73.9155225 18.5056374, 73.9142789 18.5059658, 73.9137671 18.5060773, 73.9135764 18.5060934)"
Solapur Road,trunk,"LINESTRING (73.9514648 18.499153, 73.9538737 18.4988104)"
Pune-Solapur Road,trunk,"LINESTRING (73.9070306 18.5063652, 73.9069172 18.506385)"
Saswad Road,trunk,"LINESTRING (73.9454794 18.4950942, 73.9456687 18.4949615, 73.9456956 18.4949445)"
Saswad Road,trunk,"LINESTRING (73.9419056 18.4977042, 73.9420156 18.497619, 73.9420994 18.497556, 73.9421866 18.4974918, 73.9424046 18.4973316, 73.9431337 18.4967957, 73.9433917 18.4966061)"
Saswad Road,trunk,"LINESTRING (73.9418305 18.4976393, 73.9413598 18.4980119, 73.9412361 18.4981138)"
Saswad Road,trunk,"LINESTRING (73.9409068 18.4983842, 73.940884 18.4984026, 73.9407591 18.4985208, 73.9407024 18.4985785)"
Saswad Road,trunk,"LINESTRING (73.9409948 18.4984289, 73.9413782 18.4981, 73.9415357 18.4979764)"
Jagannath Shankarsheth Marg,trunk,"LINESTRING (73.8616714 18.5001969, 73.8618095 18.5001715)"
"['Jagannath Shankarsheth Marg', 'Atal Bihari Vajpayee saheb Flyover']",trunk,"LINESTRING (73.873207 18.5018375, 73.8724703 18.5018183, 73.8713141 18.5017876, 73.8711116 18.5017826, 73.8707104 18.5017369, 73.8705627 18.5017142, 73.8698459 18.5015714, 73.8694309 18.5014835, 73.8685423 18.501254, 73.8682319 18.5011614, 73.868031 18.5010869, 73.8669586 18.5006186, 73.8664002 18.5003601)"
Bajirao Road,trunk,"LINESTRING (73.854503 18.5193346, 73.8544934 18.5196781, 73.8544757 18.520077, 73.8544921 18.5201569, 73.8545318 18.520228)"
Bajirao Road,trunk,"LINESTRING (73.8545318 18.520228, 73.8546077 18.5202924, 73.8546735 18.5203423, 73.8547714 18.5204263, 73.8549974 18.520645, 73.8550839 18.5207435, 73.8551201 18.5208014, 73.8551804 18.5209285)"
Bajirao Road,trunk,"LINESTRING (73.8545274 18.5185586, 73.854503 18.5193346)"
Bajirao Road,trunk,"LINESTRING (73.8538574 18.5164569, 73.8539039 18.5169543)"
Shivaji Road,trunk,"LINESTRING (73.8562542 18.516866, 73.8562547 18.5168173, 73.8562603 18.5162856, 73.8562699 18.5160609)"
Shivaji Road,trunk,"LINESTRING (73.8570343 18.5141146, 73.8571503 18.5138975, 73.8573103 18.5135106)"
Solapur Road,trunk,"LINESTRING (73.8898696 18.5064854, 73.8901806 18.5064605, 73.890578 18.5064074, 73.8916704 18.5062333, 73.8919516 18.5061979, 73.8921918 18.5061826, 73.8924407 18.5061696, 73.892533 18.5061717, 73.8961808 18.5067777, 73.8965181 18.5068209, 73.896944 18.5068747)"
Solapur Road,trunk,"LINESTRING (73.9070354 18.5065359, 73.9073237 18.506522, 73.9080343 18.5064878, 73.908402 18.5064701)"
Solapur Road,trunk,"LINESTRING (73.9011103 18.506493, 73.9010481 18.5064954)"
Shivaji Road,trunk,"LINESTRING (73.8590336 18.5039114, 73.8589873 18.5036586)"
Shivaji Road,trunk,"LINESTRING (73.8580076 18.5087095, 73.8580097 18.5086311, 73.8580364 18.5076154)"
Shivaji Road,trunk,"LINESTRING (73.8579573 18.5092428, 73.8579993 18.5087975, 73.8580076 18.5087095)"
Jagannath Shankarsheth Marg,trunk,"LINESTRING (73.8662584 18.5003964, 73.8663582 18.5004324)"
Shivaji Road,trunk,"LINESTRING (73.856232 18.5178104, 73.8562412 18.5175013, 73.8562437 18.5174088)"
Shivaji Road,trunk,"LINESTRING (73.8562437 18.5174088, 73.8562463 18.5172658)"
Bajirao Road,trunk,"LINESTRING (73.8538301 18.5125021, 73.8538396 18.5130271)"
Solapur Road,trunk,"LINESTRING (73.8887815 18.5064546, 73.8870759 18.5065524, 73.8854525 18.5066208, 73.8852101 18.5066232, 73.8850048 18.5066137, 73.8847698 18.5065994, 73.8846959 18.5065898, 73.884617 18.5065722, 73.8845411 18.5065464)"
Bajirao Road,trunk,"LINESTRING (73.8538184 18.5136736, 73.8537862 18.5140175)"
Shivaji Road,trunk,"LINESTRING (73.8573103 18.5135106, 73.8574124 18.5132092)"
Bajirao Road,trunk,"LINESTRING (73.8538452 18.5133364, 73.8538184 18.5136736)"
Chimaji Appa Peshwe Path,trunk,"LINESTRING (73.8537065 18.5041235, 73.8536867 18.504343, 73.8536228 18.5044604)"
Bajirao Road,trunk,"LINESTRING (73.8538073 18.5118551, 73.8538301 18.5125021)"
Bajirao Road,trunk,"LINESTRING (73.8537593 18.5156381, 73.8538073 18.5160389, 73.8538574 18.5164569)"
Bajirao Road,trunk,"LINESTRING (73.8536954 18.5076947, 73.8536966 18.5078494)"
Bajirao Road,trunk,"LINESTRING (73.8537249 18.5090266, 73.853756 18.5095901)"
Bajirao Road,trunk,"LINESTRING (73.8538173 18.5105598, 73.8537891 18.5112422)"
Bajirao Road,trunk,"LINESTRING (73.8536986 18.5080976, 73.8537032 18.5085515)"
Shivaji Road,trunk,"LINESTRING (73.8579176 18.5106381, 73.8579182 18.5105857, 73.8579273 18.5098122)"
Jagannath Shankarsheth Marg,trunk,"LINESTRING (73.8618095 18.5001715, 73.8620241 18.5001422, 73.8628381 18.5000634, 73.8632432 18.500015)"
Shivaji Road,trunk,"LINESTRING (73.8580613 18.5066677, 73.858078 18.5066095, 73.8581 18.5065333, 73.8581856 18.5063781, 73.8583094 18.5061957, 73.8583887 18.506098)"
Bajirao Road,trunk,"LINESTRING (73.8537862 18.5140175, 73.8537421 18.5145251)"
Bajirao Road,trunk,"LINESTRING (73.8539624 18.5175805, 73.8539774 18.517793, 73.8539897 18.5179678, 73.8540003 18.5181184)"
Bajirao Road,trunk,"LINESTRING (73.8540003 18.5181184, 73.854053 18.5182565, 73.8540701 18.5183013, 73.8541945 18.5184495, 73.8543296 18.5185271, 73.8545274 18.5185586)"
Jagannath Shankarsheth Marg,trunk,"LINESTRING (73.8641846 18.4999426, 73.8643169 18.4999428, 73.8645836 18.4999581, 73.8649109 18.5000041, 73.8651528 18.5000496, 73.86519 18.5000566, 73.8653773 18.5000919, 73.865468 18.5001135, 73.8657488 18.5001804, 73.8659677 18.500271, 73.8660451 18.500303, 73.8662584 18.5003964)"
Jagannath Shankarsheth Marg,trunk,"LINESTRING (73.8735743 18.5019335, 73.8737643 18.5019362, 73.8745071 18.5019445)"
Satara Road,trunk,"LINESTRING (73.8577866 18.4919474, 73.8577891 18.4917219, 73.8577774 18.4915, 73.8577663 18.4912712, 73.8577634 18.4912115, 73.8577446 18.4909185, 73.8577353 18.4908015, 73.8577205 18.4905144, 73.8576861 18.4901906, 73.8576605 18.4899566)"
Satara Road,trunk,"LINESTRING (73.8576605 18.4899566, 73.8576042 18.4894826, 73.8575838 18.4893652)"
Satara Road,trunk,"LINESTRING (73.8575435 18.4879045, 73.8575949 18.487503, 73.8576112 18.4871013, 73.8576126 18.487039)"
Satara Road,trunk,"LINESTRING (73.8577031 18.4851254, 73.857695 18.4849881, 73.8576826 18.4848027, 73.8576534 18.484368, 73.857625 18.4841637)"
Satara Road,trunk,"LINESTRING (73.8571676 18.4787221, 73.8571699 18.4788187, 73.857161 18.4791274)"
Old Pune–Mumbai Highway,trunk,"LINESTRING (73.8424168 18.5616933, 73.8425721 18.5614268, 73.8429149 18.5608821, 73.8430103 18.5607561, 73.843478 18.5601378, 73.8435517 18.5600539, 73.8436188 18.559989, 73.8440294 18.5596526, 73.8458402 18.5581762, 73.8462519 18.5578593, 73.8463525 18.5577542, 73.8464611 18.5576296)"
Old Pune–Mumbai Highway,trunk,"LINESTRING (73.84082 18.5638983, 73.8399243 18.565114, 73.8396737 18.5654672)"
